province,last_updated,data » date,data » change_cases,data » change_fatalities,data » change_tests,data » change_hospitalizations,data » change_criticals,data » change_recoveries,data » change_vaccinations,data » change_vaccinated,data » change_boosters_1,data » change_boosters_2,data » change_vaccines_distributed,data » total_cases,data » total_fatalities,data » total_tests,data » total_hospitalizations,data » total_criticals,data » total_recoveries,data » total_vaccinations,data » total_vaccinated,data » total_boosters_1,data » total_boosters_2,data » total_vaccines_distributed
,,2022-04-22,0,0,0,0,0,0,0,0,0,0,0,11004,21,40201,0,0,10614,100512,39484,19825,210,113510
,,2022-04-23,0,0,0,0,0,0,0,0,0,0,0,11004,21,40201,0,0,10614,100512,39484,19825,210,113510
,,2022-04-24,0,0,0,0,0,0,0,0,0,0,0,11004,21,40201,0,0,10614,100512,39484,19825,210,113510
,,2022-04-25,213,1,0,0,0,526,319,41,86,171,0,11217,22,40201,0,0,11140,100831,39525,19911,381,113510
,,2022-04-26,0,0,0,0,0,0,0,0,0,0,0,11217,22,40201,0,0,11140,100831,39525,19911,381,113510
,,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,11217,22,40201,0,0,11140,100831,39525,19911,381,113510
,,2022-04-28,0,0,0,0,0,0,0,0,0,0,0,11217,22,40201,0,0,11140,100831,39525,19911,381,113510
,,2022-04-29,0,0,0,0,0,0,0,0,0,0,0,11217,22,40201,0,0,11140,100831,39525,19911,381,113510
,,2022-04-30,0,0,0,0,0,0,0,0,0,0,0,11217,22,40201,0,0,11140,100831,39525,19911,381,113510
,,2022-05-01,0,0,0,0,0,0,0,0,0,0,0,11217,22,40201,0,0,11140,100831,39525,19911,381,113510
,,2022-05-02,0,0,0,0,0,0,0,0,0,0,0,11217,22,40201,0,0,11140,100831,39525,19911,381,113510
,,2022-05-03,156,0,0,0,0,124,0,0,0,0,0,11373,22,40201,0,0,11264,100831,39525,19911,381,113510
,,2022-05-04,0,0,0,0,0,0,0,0,0,0,0,11373,22,40201,0,0,11264,100831,39525,19911,381,113510
,,2022-05-05,0,0,0,0,0,0,0,0,0,0,0,11373,22,40201,0,0,11264,100831,39525,19911,381,113510
,,2022-05-06,0,0,0,0,0,0,0,0,0,0,0,11373,22,40201,0,0,11264,100831,39525,19911,381,113510
,,2022-05-07,0,0,0,0,0,0,0,0,0,0,0,11373,22,40201,0,0,11264,100831,39525,19911,381,113510
,,2022-05-08,0,0,0,0,0,0,0,0,0,0,0,11373,22,40201,0,0,11264,100831,39525,19911,381,113510
,,2022-05-09,0,0,0,0,0,0,378,50,114,192,0,11373,22,40201,0,0,11264,101209,39575,20025,573,113510
,,2022-05-10,53,0,0,0,0,63,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-11,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-12,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-13,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-14,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-15,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-16,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-17,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-18,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-19,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-20,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-21,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-22,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-23,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-24,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101209,39575,20025,573,113510
,,2022-05-25,0,0,0,0,0,0,655,40,113,478,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-05-26,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-05-27,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-05-28,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-05-29,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-05-30,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-05-31,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-02,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-03,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-04,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-05,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-06,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-07,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-08,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-09,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-10,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-11,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-12,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-13,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-14,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-15,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-16,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-17,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-18,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-19,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,101864,39615,20138,1051,113510
,,2022-06-20,0,0,0,0,0,0,999,48,140,777,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-06-21,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-06-22,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-06-23,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-06-24,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-06-25,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-06-26,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-06-27,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-06-28,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-06-29,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-06-30,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-01,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-02,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-03,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-04,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-05,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-06,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-07,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-08,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-09,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-10,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-11,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-12,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-13,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-14,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-15,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-16,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-17,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-18,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-19,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-20,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-21,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-22,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-23,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-24,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-25,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-26,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-27,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-28,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-29,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-30,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-07-31,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-08-01,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-08-02,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-08-03,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-08-04,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-08-05,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-08-06,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-08-07,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-08-08,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-08-09,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,113510
,,2022-08-10,0,0,0,0,0,0,0,0,0,0,5400,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-11,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-12,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-13,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-14,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-15,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-16,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-17,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-18,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-19,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-20,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-21,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-22,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-23,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-24,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-25,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-26,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-27,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-28,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-29,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-30,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-08-31,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-01,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-02,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-03,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-04,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-05,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-06,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-07,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-08,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-09,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-10,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-11,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-12,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-13,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-14,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-15,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-16,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-17,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-18,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-19,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-20,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-21,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-22,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-23,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-24,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-25,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-26,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-27,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-28,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-29,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-09-30,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-01,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-02,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-03,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-04,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-05,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-06,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-07,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-08,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-09,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-10,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-11,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-12,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-13,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-14,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-15,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-16,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-17,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-18,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-19,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-20,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-21,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-22,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-23,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-24,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-25,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-26,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-27,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-28,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-29,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-30,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-10-31,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-01,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-02,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-03,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-04,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-05,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-06,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-07,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-08,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-09,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-10,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-11,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-12,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-13,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-14,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-15,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-16,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
,,2022-11-17,0,0,0,0,0,0,0,0,0,0,0,11426,22,40201,0,0,11327,102863,39663,20278,1828,118910
